nome,capacidade,latencia,link
Corsair CMD16GX4M2B3466C16 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3466C16+8GB&id11301
Corsair CMD16GX4M2B3600C18 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3600C18+8GB&id10681
Corsair CMD16GX4M2K4133C19 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2K4133C19+8GB&id12452
Corsair CMD32GX4M2C3200C14M 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2C3200C14M+16GB&id9911
Corsair CMK16GX4M2B3733C17 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3733C17+8GB&id8986
Corsair CMK16GX4M2C3333C16 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2C3333C16+8GB&id12938
Corsair CMK16GX4M2E3200C16 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E3200C16+8GB&id13467
Corsair CMK16GX4M2F4500C19 8GB,8,16,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2F4500C19+8GB&id11543
Corsair CMK16GX4M2K4266C19 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4266C19+8GB&id12815
Corsair CMK16GX4M2Z3200C16 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3200C16+8GB&id10878
Corsair CMK32GX4M2B3333C16 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3333C16+16GB&id10449
Corsair CMK32GX4M2C3333C16 16GB,16,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2C3333C16+16GB&id12707
Corsair CMK32GX4M2K3600C16 16GB,16,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2K3600C16+16GB&id13840
Corsair CMK32GX4M4K4266C19 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4K4266C19+8GB&id11701
Corsair CMK64GX4M8X3600C18 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X3600C18+8GB&id12550
Corsair CMR16GX4M2C3600C18 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2C3600C18+8GB&id11048
Corsair CMR16GX4M2F4000C19 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2F4000C19+8GB&id11061
Corsair CMR16GX4M2K4266C19 8GB,8,17,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR16GX4M2K4266C19+8GB&id13620
Corsair CMT16GX4M2C3000C15 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2C3000C15+8GB&id13487
Corsair CMT16GX4M2C3600C18 8GB,8,19,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2C3600C18+8GB&id13140
Corsair CMT16GX4M2K3600C16 8GB,8,18,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2K3600C16+8GB&id13269
